region,region2cross,type,kl,kl_b,gain,kl_ratio,gain_ratio
sweden,sweden,calibration,0.006669178646773053,0.09081822690812881,92.65656369451085,100.0,100.0
sweden,sweden,validation,0.010764955875287098,0.07077894402988541,84.79073681751773,100.0,100.0
netherlands,netherlands,calibration,0.003579128143948295,0.012128763634639297,70.49057717864632,100.0,100.0
netherlands,netherlands,validation,0.004273070649733613,0.018083400458079282,76.37020393570671,100.0,100.0
saopaulo,saopaulo,calibration,0.0027202802940669347,0.07443275563088364,96.34531830642284,100.0,100.0
saopaulo,saopaulo,validation,0.003498453775060146,0.1403627892623273,97.50756322708735,100.0,100.0
sweden,netherlands,calibration,0.02110466970622029,0.09081822690812871,76.76163648562564,316.45080787320023,82.84533056795537
sweden,netherlands,validation,0.01690427020127586,0.07077894402988541,76.11680926726136,157.0305572741145,89.77019439172471
sweden,saopaulo,calibration,0.016719024461656823,0.09081822690812871,81.59067289590479,250.69090733903917,88.05708915011098
sweden,saopaulo,validation,0.014548568660166503,0.07077894402988541,79.44506115544253,135.14749924396227,93.69544850921642
sweden,average,calibration,0.016058142961783293,0.09081822690812871,82.3183698818216,240.78141870668256,88.8424592921724
sweden,average,validation,0.012409172034819302,0.07077894402988541,82.46770673834905,115.27378447789832,97.26027846158692
netherlands,sweden,calibration,0.014000002001653323,0.012128763634639356,-15.428104820756591,391.1567688719102,-21.886761945013866
netherlands,sweden,validation,0.020632966868380318,0.018083400458079282,-14.098932422645893,482.8604195829666,-18.4612999521584
netherlands,saopaulo,calibration,0.003438262534679964,0.012128763634639356,71.65199489203997,96.06424795081698,101.64762122808307
netherlands,saopaulo,validation,0.0049832584843549415,0.018083400458079282,72.44291251577893,116.62008173596668,94.85756064860841
netherlands,average,calibration,0.0026692159306143377,0.012128763634639356,77.99267913020299,74.57726639733573,110.64270183594024
netherlands,average,validation,0.0035887063118794954,0.018083400458079282,80.1546931386119,83.98424940863589,104.95545252974736
saopaulo,sweden,calibration,0.007279108394969629,0.07443275563088443,90.22055769227855,267.5867046070849,93.64290790480891
saopaulo,sweden,validation,0.007797911356886363,0.1403627892623273,94.44445967633725,222.89593798484017,96.85859901593851
saopaulo,netherlands,calibration,0.004944117380075793,0.07443275563088443,93.35760534704116,181.75029208788362,96.89895366801387
saopaulo,netherlands,validation,0.00516192985049724,0.1403627892623273,96.32243710913298,147.54889395125696,98.78458031486818
saopaulo,average,calibration,0.0030285862173966656,0.07443275563088443,95.93111098504055,111.33360867268574,99.57008048895025
saopaulo,average,validation,0.003005135659525797,0.1403627892623273,97.8590225548244,85.89896716511946,100.36044314523434
